name,ville,adresse,responsable,email,telephone,site_web,facebook,instagram,note_google,nb_avis,categorie
Le Bistrot d'Albi,Albi,"12 rue Mariès",Jean Dupont,contact@bistrot-albi.fr,0563000101,,,,4.2,87,Restaurant
Casa Pizz'Albi,Albi,"5 place du Vigan",,,0563000202,http://casapizz.wix.com,,,3.8,45,Pizzeria
Bar Le Pont,Albi,"Quai Choiseul",,,0563000303,,,,4.0,32,Bar
Snack du Centre,Albi,"8 rue de la République",Marie Martin,snack@albi.fr,0563000404,,,,3.5,18,Snack
McDonald's Albi,Albi,"ZAC Les Portes d'Albi",,,,https://mcdonalds.fr,,,3.2,420,Restauration rapide
Brasserie du Tarn,Albi,"20 rue Gabriel Péri",Pierre Blanc,info@brasserie-tarn.fr,0563000606,http://brasserie-tarn.fr,,,4.1,112,Brasserie
Restaurant Zelty Demo,Albi,"3 rue Timbal",,,0563000707,https://zelty.co,,,4.5,95,Restaurant
L'Ambassade,Albi,"25 rue Saint-Clair",Sophie Roux,reservation@ambassade.fr,0563000808,https://ambassade-albi.fr,,,4.7,210,Restaurant gastronomique
Hôtel Mercure Albi,Albi,"Rue Pater",,,contact@corp.mercure.com,,,,4.0,380,Hôtel-restaurant
Taverne du Vieil Alby,Albi,"2 rue du Tendat",,,0563001010,http://taverne-albi.wordpress.com,,,3.9,56,Restaurant
Le Comptoir,Albi,"14 rue Puech Bérenguier",Luc Bernard,comptoir@albi.fr,0563001111,,,,4.3,28,Bar
Pizza Express Albi,Albi,"7 avenue Gaillard",,,0563001212,http://pizza-express-albi.fr,,,3.6,22,Pizzeria
Buffalo Grill Albi,Albi,"Route de Toulouse",,,,https://buffalo-grill.fr,,,3.4,890,Grill
Creperie du Castelnau,Albi,"Place du Castelnau",Anne Durand,crepe@albi.fr,0563001414,,,,4.4,67,Crêperie
Café de la Madeleine,Albi,"1 place du Vigan",Paul Girard,hello@cafemadeleine-albi.fr,0563001515,https://cafemadeleine-albi.fr,,,4.6,145,Café
